,review,date,country,rating,name,type
0,recently went to singapore for holiday with my husband. went here for restaurant and casino but never go to the hotel because wil be expensive for us two. if its a whole family then much worth it i guess. but we did enjoy the place especially the casino. lucky strike! also went to celavie club and restaurant. i was very ecstatic its a must destination for tourist. Marina bay sands got all your entertainment needs. will recommend to all my friends in US and Phils. met alot of awesome fellow filipinos too.,2018-10-27,N.A.,bubble_40,sassyleigh23,Couple
1,"Pretty big Casino. I visited the Sentosa casino a couple of years ago, decided to try MBS this time. Overall both Casinos are almost same. Enjoyed a few games and surprisingly I won a (small) amount. Walked out with my money in my pocket and smile on my face.There are a lot of slot machines but I was surprised by the lack of diversity in the slot games available, Casino should invest in a few simple slot games for beginners to enjoy. Free soft drinks for patrons.Casinos are good for a bit of fun but don't go in expecting to make money, I just had a bit of luck, that's all. Casinos are huge revenue generating machines for their hotels... Singapore Casinos make >$3 billion a year. Obviously they don't make this money by giving it away to tourists :) Play a bit, expect to lose, and then walk out.",2018-09-23,"New Delhi, India",bubble_40,DrVineetGGupta,Couple
2,Very large casino with free drinks. Already with 5 dollars of singapore you can make an episode. Free entry with passport. You can play without spending a lot,2018-09-09,"Pescara, Italy",bubble_50,luca l,Couple
3,What a great place this is visually. The huge casino floors look incredible and there are so many tables on offer. I did come out up as well which always makes it more enjoyable,2018-08-30,"Kingston-upon-Hull, United Kingdom",bubble_40,Then5,Couple
4,"A lot of security, family atmosphere, constant temperature, generally wonderful people excellent food and several cultures to know something else, such as the area of ​​Litte India, Chinatown, Arabia.",2018-08-24,N.A.,bubble_50,Roberto R,Couple
5,"This one of the two legit casinos in Singapore.  The casino has a classy yet elegant decoration.  Unfortunately, it is quite chaotic and smokey.  The non smoking and smoking section are close by.",2018-07-11,"Bangkok, Thailand",bubble_30,Phi S,Couple
6,"I went to the morning. People were also sparse and more quiet than imagined. Soft drinks, coffee, tea and water bottles were free. Passport, DP, EP etc are required when entering and leaving. There are three restaurants and can eat, but price was different from Singapore dollar payment and Bay Sands Point (?) Payment, price was different, if Singapore dollar was paid, it was somewhat expensive, but the taste was delicious. It is necessary to describe the address, telephone number, DP number, but I could also make it like a point card (member card?). We could use it in restaurant in casino.",2018-06-25,N.A.,bubble_30,FellowTraveler808025,Couple
7,"After reading the procedures of getting in and the dress code requirements we decided to take a look whilst at the SkyPark. I know it reads no shorts but thats rubbish as I asked the security guard and he said it was no problem, I saw many people with shorts on.Entry is a bit difficult, having to show passports. Thinking that Singapore was anti smoking, it was a shame to find the place full of people puffing away. They do have a no smoking section but you walk out of there stinking of stale smoke.There are NO ATM's inside the casino, so you have to go back through security, yes correct, through security just to get out!There was free stations for soft drinks and hot drinks, did not see any alcohol. They have these cool looking robots that are stocked with bottles of water than you can walk up to and take a bottle.Lots of slots machines and table games. Lots of people just hanging about though just sitting there.Worth a look, but dont go out of your way.",2018-06-20,United Kingdom,bubble_30,Sunny P,Couple
8,"Marina Bay Sands Casino is a casino in a huge shopping mall. Points saved at the casino can also be used for souvenirs and lodging and dining at the Marina Bay Sands Hotel. Passport is mandatory. You can also purchase casino chips with cards. Non alcohol is free and alcohol is charged. You can smoke in the casino. Although the area is divided. There are 3 kinds of blackjack. BS ignorance is a matter of course, let's withdraw quickly if you win! I have a pair of about 10000 times, so I am happy to like pairs.",2018-05-29,"Matsuyama, Japan",bubble_50,Roam807777,Couple
9,"I wanted to go in. the staff at the entrance were not friendly. I had my Passport Card - issued by the government, but they would not take it, as they did not understand what it was. With all the international travelers, you would think the staff would be better trained and friendly. take your money to a casino that will appreciate your business.",2018-04-26,Los Angeles California,bubble_10,bill w,Couple
10,"We called in here after dinner to have a drink and a biot of gamble. All I can say is dont waste your time or money. If you are looking ng for a similar experience to Macau, Vegas or even Australia you will be deeply disappointed. The place did not haver pleasant vibe about it, it was fill of smoke and just not pleasant to be in. I would not go back here.",2018-04-09,"Gold Coast, Australia",bubble_20,Argy39,Couple
11,"At first I wanted to enter to see ... uh, it turned out that I had to check it all out and look tight ... I just saw it outside ... It turned out that the gambling wasn't just gangster ... but there were many women and even grandmothers ... ..",2018-03-22,"Tangerang, Indonesia",bubble_40,Meyrisca,Couple
12,"Had to make a point of visiting this casino to experience what I had heard, its a huge place full of gamblers from all over the world. Once again, it was a very busy place and is haven for people who enjoy gambling. For us though, we didn't last too long and made a point of leaving before we lost all of our holiday spending money.",2018-03-15,N.A.,bubble_50,Cy H,Couple
13,"Singapor casino is quite big. I’m not exactly sure how many floors there were but if you are a foreigner you must show your passport to be able to enter. We went during the day so as far as dress went it was very casual. Free bottles of water, tea,coffee and soft drink. Plenty of people were winning but unfortunately that didn’t include us. Worth having a look if time permits.",2018-03-14,"Hervey Bay, Australia",bubble_40,Alison Y,Couple
14,"To get into this casino if you are not a local you will need your passport else they won’t let you in. You also need it to get out for some reason too.Smoking inside is also allowed as well. They do have “smoke free zones” but this isn’t, people don’t care and smoke where they want to and it’s not patrolled. The whole casino smells of smoke and is really off putting.",2018-03-07,"Gold Coast, Australia",bubble_20,shan9,Couple
15,"We have visited and stayed at the Marina Bay a couple times over the years. One thing we noticed every time we went to casino service got worse, long ques, stupid security check making you feel as if you were a criminal, toilet smelling foul as if it wasn’t cleaned all day and worse of all the slot machines just take your money no payouts at all. We went spent 1500$, 100$ on each machine playing midrange bet and walked out without a single cent in winnings. We must have played on at least 13-14 machines and none even opened a free play or bonus, thus showing us machines are rigged to take and not even give player a chance in getting any money. This kills the fun and with the rude security staff on your way in and out it all adds up to don’t bother going as the house will win anyway and leave you with less money to enjoy on other nice places in Singapore. No entertainment, no free alcohol, and no feeling that you are in a real international casino. Don’t bother going!",2018-02-20,Yangon ,bubble_10,goran s,Couple
16,"A large area spread in the entrance and exit passport control is done in the first floor of the two-storey smoking cigarette coffee tea and soft drinks free to take advantage of them do not need to wait to queue to make money to play the game and the low exchange rate, so you can go with singapore dollars so ehhh niry is",2018-02-18,N.A.,bubble_30,Ufuk Ö,Couple
17,"I was excited to go and try my luck and gamble a little, but to my disappointment they mainly had table games catered for Asian. I wanted to play Texas holdem but there wasn't any. The minimum table amount was $25. Also there wasn't a lounge to just sit and have a drink or two.",2018-02-09,"Sydney, Australia",bubble_10,1PeterPeter1,Couple
18,"It is a casino where both the second and third floors stand up! There are also entrance checks twice and it is quite adequate, but security is also solid. Many people are crazy about gambling at the table high roller corner. Since I am a beginner's game like a slot for me, I felt oldness on machines.",2018-02-02,"Kyoto, Japan",bubble_30,m-tr1525,Couple
19,"Money is easily spent at Marina Bay, but a visit to the casino is the quickest and safest way to lose money. Coffee and drinks are free. They ask you for a passport both to enter and leave the casino.",2018-01-27,"Brescia, Italy",bubble_30,comangel82,Couple
